Generation,Transportation,Workload,Delay,Unrecycled
11,439.6,93.23,116.67,82
11,401.77,96.04,838.48,82
11,434.67,133.36,163.57,82
11,486.61,84.1,485.32,43
11,488.16,127.68,412.17,56
11,406.76,116.81,226.52,105
11,537.21,86.13,83.83,43
11,451.98,94.88,735.99,73
11,495.32,74.37,159.12,59
11,519.43,55.62,438.59,73
11,533.53,99.51,221.67,43
11,378.49,97.35,291.75,82
12,445.56,142.05,218.45,73
12,427.15,92.79,520.07,66
12,454.25,82.03,434.09,65
12,339.9,36.77,329.04,124
12,434.67,133.36,163.57,82
12,416.5,119.75,659.1,65
12,425.31,81.6,24.71,98
12,414.77,135.27,249.81,98
12,423.75,132.23,657.83,82
12,430.11,118.17,243.89,82
12,472.27,136.82,385.55,57
12,454.3,100.12,422.52,92
12,390.89,93.53,384.66,105
12,514.19,69.47,648.56,67
12,524.92,81.83,308.78,59
12,470.78,137.11,272.88,57
12,502.75,0,3124.28,82
12,416.5,119.75,659.1,65
12,434.67,133.36,163.57,82
12,434.67,133.36,163.57,82
12,412.64,99.65,156.48,121
12,434.67,133.36,163.57,82
12,559.86,64.52,645.62,71
12,447.77,108.29,239.48,59
12,450.85,133.87,114.65,82
12,434.67,133.36,163.57,82
12,424.34,133.86,75.29,98
12,492.5,93.37,239.48,43
12,492.5,93.37,239.48,43
12,415.21,143.53,1109.44,82
12,435.73,160.41,1283.85,42
12,461.06,37.65,257.1,82
12,430.65,95.14,696.29,59
12,417.27,136.9,75.29,121
13,362.57,59.34,389.34,98
13,416.5,119.75,659.1,65
13,426.58,0,2663.34,82
13,575.09,62.39,589.09,65
13,499.83,126.73,321.23,57
13,407.08,70.08,396.85,82
13,336.08,0,1619.64,124
13,425.31,81.6,24.71,98
13,324.09,37.61,546.33,124
13,454.25,82.03,434.09,65
13,339.9,36.77,329.04,124
13,390.89,93.53,384.66,105
13,425.31,81.6,24.71,98
13,407.08,70.08,396.85,82
13,380.94,54.3,116.67,124
13,392.4,70.67,571.66,82
13,411.41,99.7,125.84,82
13,376.6,82.29,283.16,124
13,470.78,137.11,272.88,57
13,521.26,71.04,211.48,85
13,474.95,33.87,706.07,39
13,400.69,127.75,831.6,65
13,416.5,119.75,659.1,65
13,439.47,76.8,116.67,82
13,484.32,97.64,104.19,85
13,465.31,71.06,404.35,56
13,425.31,81.6,24.71,98
13,511.66,74.17,153.74,59
