Generation,Transportation,Workload,Delay,Unrecycled
7,472.88,108.71,520.74,0
8,492.17,59.83,409.22,0
8,475.03,45.08,422.94,0
8,477.67,44.75,748.23,0
8,497.81,28.36,0,0
8,475.03,45.08,422.94,0
8,474.87,44.94,440.47,0
8,475.03,45.08,422.94,0
8,434,52.76,943.68,0
8,474.87,44.94,440.47,0
8,475.03,45.08,422.94,0
8,475.03,45.08,422.94,0
8,475.03,45.08,422.94,0
8,497.81,28.36,0,0
8,475.03,45.08,422.94,0
8,514.95,13.73,98,0
8,475.03,45.08,422.94,0
8,475.03,45.08,422.94,0
8,497.81,28.36,0,0
8,475.03,45.08,422.94,0
8,475.03,45.08,422.94,0
8,475.03,45.08,422.94,0
8,475.03,45.08,422.94,0
8,445.96,56.66,929.47,0
8,475.03,45.08,422.94,0
8,475.03,45.08,422.94,0
8,475.03,45.08,422.94,0
8,494.38,56.53,307.76,0
8,468.33,44.76,621.71,0
8,475.03,45.08,422.94,0
8,497.81,28.36,0,0
8,475.03,45.08,422.94,0
8,477.67,44.75,748.23,0
8,475.03,45.08,422.94,0
8,497.81,28.36,0,0
8,477.67,44.75,748.23,0
8,497.81,28.36,0,0
8,468.33,44.76,621.71,0
9,475.03,45.08,422.94,0
9,497.81,28.36,0,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,466.37,127.24,1332.38,0
9,474.87,44.94,440.47,0
9,477.83,44.89,730.69,0
9,497.81,28.36,0,0
9,477.67,44.75,748.23,0
9,462.06,146.49,1593.63,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,514.95,13.73,98,0
9,475.03,45.08,422.94,0
9,492.17,59.83,409.22,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,473.92,64.78,618.74,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,497.81,28.36,0,0
9,466.37,127.24,1332.38,0
9,475.03,45.08,422.94,0
9,477.67,44.75,748.23,0
9,492.17,59.83,409.22,0
9,492.17,59.83,409.22,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,497.81,28.36,0,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
9,475.03,45.08,422.94,0
10,475.03,45.08,422.94,0
10,445.19,15.17,1066.75,0
10,474.87,44.94,440.47,0
10,475.03,45.08,422.94,0
10,476.89,44.77,543.87,0
10,475.03,45.08,422.94,0
10,475.03,45.08,422.94,0
10,475.03,45.08,422.94,0
10,474.87,44.94,440.47,0
10,475.03,45.08,422.94,0
10,474.87,44.94,440.47,0
10,475.03,45.08,422.94,0
10,475.03,45.08,422.94,0
10,474.87,44.94,440.47,0
10,475.03,45.08,422.94,0
10,475.03,45.08,422.94,0
10,474.87,44.94,440.47,0
10,452.66,53.03,730.69,0
10,455.05,53.78,553.47,0
10,452.66,53.03,730.69,0
10,475.03,45.08,422.94,0
10,475.03,45.08,422.94,0
10,475.03,45.08,422.94,0
10,475.03,45.08,422.94,0
10,475.03,45.08,422.94,0
10,474.87,44.94,440.47,0
10,475.03,45.08,422.94,0
10,461.13,24.37,1038.19,0
10,474.87,44.94,440.47,0
11,455.05,53.78,553.47,0
11,475.03,45.08,422.94,0
11,475.03,45.08,422.94,0
11,474.87,44.94,440.47,0
11,475.03,45.08,422.94,0
11,475.03,45.08,422.94,0
11,475.03,45.08,422.94,0
11,475.03,45.08,422.94,0
11,474.87,44.94,440.47,0
11,533.22,64.71,0,0
11,475.03,45.08,422.94,0
11,452.5,53.01,748.23,0
11,455.22,53.92,535.94,0
11,475.03,45.08,422.94,0
11,475.03,45.08,422.94,0
11,475.03,45.08,422.94,0
11,474.87,44.94,440.47,0
11,474.87,44.94,440.47,0
11,475.03,45.08,422.94,0
11,477.83,44.89,730.69,0
11,474.87,44.94,440.47,0
11,455.22,53.92,535.94,0
11,474.87,44.94,440.47,0
11,475.03,45.08,422.94,0
11,474.87,44.94,440.47,0
11,475.03,45.08,422.94,0
11,475.03,45.08,422.94,0
11,475.03,45.08,422.94,0
11,474.87,44.94,440.47,0
11,455.05,53.78,553.47,0
11,452.5,53.01,748.23,0
11,475.03,45.08,422.94,0
11,474.87,44.94,440.47,0
11,474.87,44.94,440.47,0
11,452.66,53.03,730.69,0
11,447.47,136.93,1610.61,0
11,475.03,45.08,422.94,0
11,475.03,45.08,422.94,0
11,475.03,45.08,422.94,0
11,474.87,44.94,440.47,0
12,475.03,45.08,422.94,0
12,474.87,44.94,440.47,0
12,475.03,45.08,422.94,0
12,452.5,53.01,748.23,0
12,474.87,44.94,440.47,0
12,475.03,45.08,422.94,0
12,452.5,53.01,748.23,0
12,474.87,44.94,440.47,0
12,475.03,45.08,422.94,0
12,475.03,45.08,422.94,0
12,455.05,53.78,553.47,0
